id;name;formal_name;iso_aplha_3_code;iso_numeric_code;country_type;latest_recorded_population;continent;region;subregion;border;valid_from;valid_to
1;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;70624;Sleek;8483;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;2019-11-18T20:49:47;2019-11-18T13:44:17
2;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;11752;payment synthesize Idaho;96217;grow asymmetric;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-11-19T06:34:45;2019-11-18T19:50:07
3;Savings Account;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;Regional;45565;Money Market Account;Mouse;Junctions one-to-one;analyzing holistic;2019-11-19T02:09:03;2019-11-18T08:43:15
4;Kwanza Falkland Islands (Malvinas);schemas;Pound Sterling Keyboard;91092;parsing;94979;hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;Ways Liaison engage;2019-11-18T14:23:59;2019-11-18T23:14:54
5;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;81290;Producer Agent;55543;input Accounts;enhance Multi-channelled purple;Response;white SMTP;2019-11-18T14:13:18;2019-11-18T17:33:17
6;global;Baby;Kyrgyz Republic transmit;52016;SAS;55190;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;2019-11-18T08:51:31;2019-11-18T23:58:32
7;New York mesh;Unbranded array;Berkshire solid state;39654;Home Loan Account;86236;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;2019-11-18T19:29:43;2019-11-19T05:17:47
8;Rubber Shirt;Pakistan Rupee;Chicken;34566;Human Mission;66755;Soap teal Licensed Wooden Pants;e-business;Awesome;Kiribati;2019-11-18T23:50:45;2019-11-19T03:26:15
9;innovative Bedfordshire Lempira;Licensed;Credit Card Account Sleek;87357;Regional;6107;systemic;Handmade Savings Account Manager;cultivate Bedfordshire;navigate Kiribati;2019-11-18T15:05:50;2019-11-18T14:27:01
10;Games;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);10717;Inlet Hungary Configurable;26924;leverage Toys software;Incredible;Concrete National;Ranch impactful;2019-11-18T16:49:05;2019-11-18T20:25:37
