id;order_date;due_date;ship_date;payment_status;order_flag;order_number;sub_total;tax_amount;frieight;total_due;comments;delivery_instructions;internal_comments;picking_completed_when;status;last_edited_by;last_edited_when
1;2019-11-18;2019-11-18;2019-11-18;99481;40667;Metrics Mayotte black;45896;43699;91938;59356;Intelligent Rubber Chair;Electronics synthesizing circuit;Quality Markets;2019-11-18T19:52:30;CANCELLED;synthesize customer loyalty;2019-11-19T02:49:15
2;2019-11-18;2019-11-18;2019-11-18;78134;16269;Rhode Island program Borders;1210;83540;903;78442;cultivate Czech Republic;deposit gold circuit;Buckinghamshire primary Managed;2019-11-19T02:29:26;COMPLETED;deposit Fresh bottom-line;2019-11-18T22:50:31
3;2019-11-18;2019-11-18;2019-11-18;99325;49467;Buckinghamshire;48154;37172;63544;39245;back up;Tasty Cotton Towels executive Auto Loan Account;Innovative New Hampshire killer;2019-11-18T16:37:51;COMPLETED;Beauty;2019-11-18T12:14:04
4;2019-11-19;2019-11-18;2019-11-19;22869;3601;Keyboard SMTP context-sensitive;95045;43138;58162;71915;New Jersey convergence;program;Plastic;2019-11-18T22:04:03;PENDING;neural Tunnel Borders;2019-11-19T03:28:39
5;2019-11-19;2019-11-18;2019-11-19;18613;29569;Auto Loan Account;3280;20707;63604;7115;Incredible Frozen Salad Berkshire;Licensed transmitting;parallelism;2019-11-18T15:44:35;PENDING;Mountains Gorgeous Plastic Table Program;2019-11-18T22:59:10
6;2019-11-19;2019-11-18;2019-11-18;53202;1;paradigms Guinea;5463;72312;97307;20056;orange;help-desk;TCP;2019-11-19T07:08:39;COMPLETED;index synthesizing;2019-11-18T22:14:49
7;2019-11-18;2019-11-19;2019-11-18;32529;81802;Sharable client-server Cotton;33696;90194;99954;80669;Manager input;Montenegro Tuna;Practical Saint Kitts and Nevis;2019-11-18T15:21:59;PENDING;Borders web-enabled Checking Account;2019-11-18T20:49:30
8;2019-11-19;2019-11-18;2019-11-18;94920;29655;panel quantify;10251;78073;51385;70848;Pants Representative;hacking Costa Rican Colon;Practical solid state Metal;2019-11-19T05:23:13;COMPLETED;purple;2019-11-19T00:06:06
9;2019-11-19;2019-11-19;2019-11-18;97852;15732;Metal input Kwacha;43532;94709;54930;49625;grow;Buckinghamshire;circuit implement;2019-11-19T07:47:07;PENDING;indexing Intelligent Oklahoma;2019-11-18T20:21:50
10;2019-11-18;2019-11-18;2019-11-18;53429;96703;Practical Granite Gloves sensor;86264;11849;17925;96151;hard drive Markets Customer-focused;SAS Chicken migration;strategy;2019-11-18T12:47:46;PENDING;parsing Investor Computers;2019-11-18T16:12:49
