id;invoice_date;customer_purchase_order_number;is_credit_note;credit_note_reason;comments;delivery_instructions;internal_comments;total_dry_items;total_chiller_items;delivery_run;run_position;returned_delivery_data;confirmed_delivery_time;confirmed_received_by;payment_method;status;last_edited_by;last_edited_when
1;2019-11-19T04:25:30;strategize interface;true;Swedish Krona Phased Guyana Dollar;calculating;Creative driver THX;Handmade Concrete Bacon;5952;4055;SMTP Cross-group;engineer Prairie;Rustic Investment Account;2019-11-18T19:12:00;Senior optimize forecast;PAYPAL;ISSUED;deposit Direct;2019-11-18T17:41:17
2;2019-11-19T04:41:10;Fish deposit reboot;true;connecting;Fresh Clothing relationships;Meadow;Maryland;4373;91013;multi-byte;web-enabled;quantifying Refined Cotton Chicken navigating;2019-11-18T22:41:47;Gorgeous French Southern Territories PNG;CASH_ON_DELIVERY;CANCELLED;success;2019-11-18T18:25:02
3;2019-11-19T08:05:40;seamless Clothing;false;Haiti Bedfordshire Table;Steel Legacy;Marketing value-added;withdrawal deposit;34060;38587;redundant;artificial intelligence Uzbekistan Sum;Guinea overriding;2019-11-18T18:27:53;Minnesota Handcrafted Keyboard;CREDIT_CARD;CANCELLED;synergize Shirt Home;2019-11-18T14:14:27
4;2019-11-19T04:51:37;Bedfordshire Fresh;true;productize;info-mediaries ADP;Assistant Western Sahara;mission-critical;96113;15158;Tools Director;Wallis and Futuna Shoes Malawi;Cheese Streamlined;2019-11-18T12:15:53;B2C compressing;CASH_ON_DELIVERY;PAID;Frozen platforms;2019-11-18T17:21:37
5;2019-11-18T12:47:16;maroon mobile;true;middleware local area network bluetooth;lime enable;RSS;Tunisia Customer-focused Planner;90945;59912;back-end Track Rustic Soft Cheese;Steel wireless;Trail;2019-11-19T07:33:46;Liaison Applications Cambridgeshire;CREDIT_CARD;PAID;salmon index;2019-11-18T23:06:46
6;2019-11-18T17:51:07;Central front-end;true;Principal Knolls networks;quantify South Dakota;Fall Executive Refined Steel Table;compressing Future;6245;31189;Monitored Beauty Orchestrator;Mobility;connect;2019-11-18T10:05:16;Clothing SMS Bulgaria;CREDIT_CARD;ISSUED;Industrial Manager Zimbabwe Dollar;2019-11-18T12:30:24
7;2019-11-19T06:14:03;Books;false;next-generation payment Rustic Steel Cheese;transmit invoice program;Rial Omani Ergonomic target;Gorgeous infomediaries utilize;6600;30613;Botswana invoice;Quality Small Frozen Computer;SQL Taka;2019-11-19T05:40:46;synthesizing Reactive;CREDIT_CARD;ISSUED;foreground virtual Marketing;2019-11-18T22:40:03
8;2019-11-19T02:00:07;Garden Mississippi overriding;true;silver Kids;killer;hack cyan;Cambridgeshire Locks Tennessee;62478;55465;payment;Multi-lateral program;projection intermediate Nebraska;2019-11-19T05:30:39;Forward;CREDIT_CARD;ISSUED;Gorgeous Soft Shirt artificial intelligence Electronics;2019-11-18T20:07:22
9;2019-11-18T13:35:51;port;true;Senior Tennessee Alley;User-centric bypass;Security;innovative local transmitting;31334;57180;Human Division functionalities;matrix Technician;Metal;2019-11-19T07:22:29;Maryland Web;CASH_ON_DELIVERY;PAID;Quality;2019-11-18T15:31:44
10;2019-11-18T09:44:04;attitude-oriented;false;payment Associate Fantastic;Markets Cambridgeshire;Locks Intelligent;integrated clicks-and-mortar;5235;85895;maroon Somalia applications;grey invoice Row;deposit wireless quantify;2019-11-19T07:31:38;enable;PAYPAL;ISSUED;Senior 5th generation;2019-11-18T23:33:47
