id;stock_item_name;vendor_code;vendor_sku;barcode;barcode_type_id;barcode_type_name;product_type;product_category_id;product_category_name;product_attribute_set_id;product_attribute_id;product_attribute_value;product_option_set_id;product_option_id;product_option_value;model_name;model_number;material_id;material_name;short_description;description;product_brand_id;product_brand_name;highlights;search_details;care_instructions;dangerous_goods;video_url;unit_price;remommended_retail_price;currency_code;quantity_on_hand;warranty_period;warranty_policy;warranty_type_id;warranty_type_name;what_in_the_box;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;item_length_unit_measure_id;item_length_unit_measure_code;item_width_unit_measure_id;item_width_unit_measure_code;item_height_unit_measure_id;item_height_unit_measure_code;item_weight_unit_measure_id;item_weight_unit_measure_code;item_package_length_unit_measure_id;item_package_length_unit_measure_code;item_package_width_unit_measure_id;item_package_width_unit_measure_code;item_package_height_unit_measure_id;item_package_height_unit_measure_code;item_package_weight_unit_measure_id;item_package_weight_unit_measure_code;no_of_pieces;no_of_items;manufacture;special_feactures;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;sell_start_date;sell_end_date;status;last_edited_by;last_edited_when
1;Gorgeous;pixel;Pants;Lock Global white;502;Handcrafted Fresh Cheese invoice;Florida;90435;bypassing;75704;94153;auxiliary;46239;21244;deposit models exploit;customized reboot dynamic;Boliviano Mvdol;27163;lime Sausages;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;34210;applications transmitting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Fish;Bouvet Island (Bouvetoya) national;49281;94989;GNF;13708;system deposit;Cotton Guatemala;90241;one-to-one;../fake-data/blob/hipster.txt;73300;1517;65866;58141;93155;10585;82098;87301;56660;payment District;39951;throughput Movies;82655;neural;10445;Arkansas;46398;Wooden Planner;21469;Unbranded Rubber Cheese;73886;Kids invoice Cyprus;10326;Cheese Pennsylvania knowledge base;93831;24624;methodologies open-source Industrial;../fake-data/blob/hipster.txt;communities intuitive Ergonomic Steel Chair;true;Fields Visionary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T17:39:17;2019-11-18T18:36:13;25285;Ohio;2019-11-18T23:46:08
2;calculating bypassing Turnpike;cross-platform Bacon;knowledge user;Computer;83459;interactive Internal;mint green enable;80840;synthesizing drive;45912;27575;azure;1675;11864;Brand Comoro Franc Morocco;Applications;communities;16121;payment Director;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;56218;bus Intelligent Cotton Bike Granite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reboot Handcrafted Metal Car;24/7 Palestinian Territory;40320;94018;UGX;4678;methodology portals Future;Practical out-of-the-box relationships;67582;withdrawal Intelligent Cotton Ball;../fake-data/blob/hipster.txt;18177;55632;15681;2915;82730;90724;4191;15628;41918;Hat;87933;California Fully-configurable Cambridgeshire;73148;Paradigm;22044;HTTP Applications Regional;63541;withdrawal;40321;copy;53129;Somoni;42845;system programming;14643;65805;Beauty Configuration Mandatory;../fake-data/blob/hipster.txt;drive;true;Mandatory overriding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T20:46:25;2019-11-18T19:15:03;51409;superstructure;2019-11-18T18:38:13
3;structure;Indiana;Clothing Developer Director;Re-contextualized pink;85719;synthesizing experiences Cotton;bluetooth heuristic;99033;Industrial Savings Account withdrawal;68804;43098;task-force;19809;18118;Personal Loan Account;e-tailers;Turkmenistan users;16022;Towels;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;41814;transmit International;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Jordanian Dinar;Licensed Movies;66171;15962;NPR;33562;Intelligent;Sports;83494;Specialist Concrete Extended;../fake-data/blob/hipster.txt;86840;27771;92646;3593;41962;92691;5062;21369;3939;Alabama exploit;2865;West Virginia Jewelery virtual;30643;Handcrafted Rubber Pants;39768;Supervisor Bahamas;27523;hard drive optimizing;90424;syndicate;54986;Ergonomic Cotton Shirt;83236;digital;22431;31755;secondary;../fake-data/blob/hipster.txt;Security;false;Cape;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-19T00:17:28;2019-11-18T17:21:19;87068;Gorgeous;2019-11-19T03:19:23
4;calculate;XML;mindshare interactive visualize;Cayman Islands salmon;20858;process improvement Corporate Cameroon;even-keeled best-of-breed infrastructures;67969;Refined Steel Soap;39191;33753;digital Profit-focused Engineer;34481;88608;Product attitude;Cotton;Synergized Tunisian Dinar;82606;Mauritius Rupee;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;82435;integrate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;payment;revolutionary Kwanza;27064;98975;BGN;3002;Dam Cambridgeshire Frozen;cross-platform;65942;Montana THX zero defect;../fake-data/blob/hipster.txt;46768;76800;61938;43436;41119;44644;42748;61877;33028;Montana quantifying;20152;Group;68908;hacking;55619;multi-byte;1620;compressing Sleek Fresh Shoes;99196;multimedia;21031;transmit Phased XML;10284;Plastic;97915;9327;Facilitator Plastic Chicken;../fake-data/blob/hipster.txt;Personal Loan Account Auto Loan Account UAE Dirham;true;portals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-19T01:46:04;2019-11-19T04:56:55;76858;Multi-lateral;2019-11-18T15:46:25
5;Function-based Credit Card Account calculate;Balanced;Concrete Checking Account;Australian Dollar Soft Director;18345;Personal Loan Account e-services;Burg;1368;Licensed Switchable;2785;48271;index Mauritius Rupee;72425;17464;modular invoice;streamline solid state New Hampshire;Alaska;50027;Awesome Steel Pizza Savings Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;34095;Internal orchestrate Fresh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Specialist firewall wireless;Investor virtual US Dollar;67963;61448;XPD;58119;Adaptive;asymmetric azure withdrawal;63371;Investment Account;../fake-data/blob/hipster.txt;1624;4246;72877;68462;32353;90270;66505;83726;55657;innovative;13457;Unbranded indexing Central;64978;Unbranded;40202;port virtual;11821;Books card efficient;25448;Music;54029;programming Creative Vermont;51446;Licensed Holy See (Vatican City State);37997;66626;Coordinator Ergonomic;../fake-data/blob/hipster.txt;Sleek budgetary management;false;Bacon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T08:41:39;2019-11-18T08:56:50;44410;Belize HTTP;2019-11-18T08:29:48
6;Mississippi virtual info-mediaries;Graphic Interface;Dong Norwegian Krone;Belarussian Ruble;36467;panel payment;Malaysian Ringgit;70061;transmit;87285;42593;Producer Generic;78034;18663;Shoes dynamic supply-chains;optical Distributed;Rubber;96347;Gorgeous Greens;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;58556;Samoa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;deposit;Tasty Mississippi Bahrain;23374;4809;PHP;29566;Program Liberia needs-based;Persistent moderator;61363;Principal;../fake-data/blob/hipster.txt;80992;54477;58313;13568;73022;89363;36482;7463;64096;Wells magenta Baht;55646;collaborative Global;2093;system engine Tasty Soft Bacon Quetzal;33135;Kina cultivate synthesize;45418;portals;93472;Secured Plastic;58454;Director engineer;6203;robust Avon;16192;6110;Cambridgeshire Practical;../fake-data/blob/hipster.txt;collaborative;false;Cotton JBOD synergies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T23:05:44;2019-11-18T17:39:17;65969;vortals withdrawal;2019-11-19T06:54:55
7;redundant Mobility;Frozen purple;Fort;Moldova Cotton;86816;benchmark Shirt;Chair pixel magenta;5856;Armenia;59522;36364;Awesome Plastic Self-enabling;29546;54027;Handcrafted New Jersey;Shirt Gloves GB;Pizza portals;59567;Sleek Paradigm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;75513;Montana overriding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;info-mediaries;invoice copying virtual;27706;19519;XPD;67849;structure;Director Shirt pixel;4028;grow Berkshire Wyoming;../fake-data/blob/hipster.txt;93593;1049;67225;89506;48127;14914;80967;78592;95053;Garden Facilitator;8613;open-source;28033;Plastic e-markets;64395;transform;5456;Savings Account;90240;unleash azure;44257;Intelligent Fresh Table overriding Indiana;35310;primary Cuba;82593;93537;Spurs Pine;../fake-data/blob/hipster.txt;communities;true;Central African Republic Investment Account red;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T17:22:28;2019-11-18T20:54:36;57160;Bacon;2019-11-19T06:57:36
8;Auto Loan Account copy Sri Lanka;Norway;Generic synergies;Concrete;74229;Innovative;Fantastic Cotton Pizza Cambridgeshire;48329;morph overriding Granite;50569;733;Movies;55329;57386;Wyoming CSS;User-friendly Steel;Licensed Licensed Concrete Salad Madagascar;64557;Incredible Frozen Soap indexing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29661;Unbranded Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;back-end;Palestinian Territory De-engineered proactive;98950;69072;RWF;72878;Rustic Frozen Shirt Awesome analyzing;Games Azerbaijanian Manat withdrawal;41078;Berkshire systems Toys;../fake-data/blob/hipster.txt;33537;2221;17708;98853;9842;4142;95672;96780;59935;matrix array;39314;De-engineered Small;17903;digital Cordoba Oro;54692;Highway;92243;Practical Plastic Tuna world-class optical;99251;Public-key;87430;calculating Multi-tiered benchmark;40967;Orchestrator Chair digital;33419;81046;full-range hard drive revolutionize;../fake-data/blob/hipster.txt;primary CSS;false;Gold Metal vortals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T19:13:26;2019-11-18T16:10:19;40273;Mayotte Associate;2019-11-19T05:08:41
9;Lilangeni recontextualize;Games;Intranet ADP Direct;eyeballs viral moratorium;73087;Riel Louisiana;Money Market Account Illinois Tuna;47173;Gambia;57028;22460;Handmade Fresh Chair;25454;35483;auxiliary Ohio;open system;Massachusetts digital firewall;61010;Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13318;uniform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Generic Metal Hat Ball;Grocery;49623;90801;GIP;24257;Small leverage Tasty;Towels;47164;Small;../fake-data/blob/hipster.txt;62568;71441;55053;36164;40736;12537;52137;25361;89657;black Health;86166;New Jersey;89065;Credit Card Account;81016;e-markets copy Future;57212;Keyboard;26879;indigo;24685;help-desk Montenegro;58799;paradigms Auto Loan Account;8157;17732;microchip;../fake-data/blob/hipster.txt;Buckinghamshire salmon 24/7;false;multi-byte Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T16:48:18;2019-11-18T11:40:00;66887;virtual;2019-11-18T10:00:15
10;Garden;Vermont;Prairie South Dakota invoice;programming Industrial monitor;20839;Fresh;Incredible Concrete Car Corporate;25619;cyan;13812;2461;tan bandwidth 24/7;91172;75804;generate;Som;orchid Assistant deposit;93454;framework optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;76585;Congolese Franc;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;functionalities Rustic Concrete Chicken Producer;New York lime;50445;36696;GYD;14722;olive portal;Integrated implement;26916;azure neural;../fake-data/blob/hipster.txt;90925;82521;37023;79505;75127;32373;89699;76519;84612;Tuna;95629;utilize impactful;6243;Bedfordshire Licensed Cloned;31694;online EXE;30246;SCSI PNG compress;14669;Bermudian Dollar (customarily known as Bermuda Dollar) Configuration Croatian Kuna;33161;Buckinghamshire;64572;Bedfordshire;11995;30604;Licensed Wooden Pizza;../fake-data/blob/hipster.txt;Cotton;true;neural-net;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-11-18T16:29:41;2019-11-19T02:44:06;75182;optical Response productivity;2019-11-18T11:47:10
