id;description;quantity;unit_price;tax_rate;tax_amount;line_profit;extended_price;last_edited_by;last_edited_when
1;quantify Ergonomic Fresh Salad SCSI;66780;33040;59322;34040;89230;98902;Checking Account;2019-11-18T19:38:18
2;synthesizing;28529;3467;42918;58280;26777;99543;COM Norfolk Island Gorgeous Fresh Bike;2019-11-18T18:00:52
3;Soft Sleek;90962;3264;66920;86855;82928;6468;Intranet Beauty North Korean Won;2019-11-19T06:25:01
4;District;46443;77387;13752;60192;34081;89252;initiatives;2019-11-18T17:49:11
5;withdrawal South Carolina Pakistan Rupee;23743;67642;51236;13169;10422;23418;online Technician;2019-11-19T02:05:08
6;methodical Shoal Analyst;26895;63410;40697;7093;89148;25439;vertical;2019-11-18T21:03:00
7;Unbranded Wooden Bike holistic;97153;45046;33134;47297;48204;62251;Plain;2019-11-18T21:39:02
8;Falls;59086;51657;53700;550;85413;766;gold;2019-11-19T07:30:30
9;Gorgeous web-enabled redundant;57204;21850;51266;39679;29348;4438;foreground bypassing mobile;2019-11-18T12:45:11
10;Guadeloupe;87986;50741;57477;87422;2966;49354;Australian Dollar Architect Frozen;2019-11-19T01:47:47
