id;video_url;highlights_url;long_description_url;short_description_url;description_url;care_instructions_url;special_features_url;usage_and_side_effects_url;safety_warnning_url;product_type;model_name;model_number;fabric_type;product_compliance_certificate;genuine_and_legal;country_of_origin;warranty_period;warranty_policy
1;compressing attitude-oriented niches;Investment Account;Louisiana North Carolina forecast;Checking Account;24/7 Fantastic parse;JBOD Utah Borders;Denar;quantifying;Glens Bedfordshire compress;Gloves;District;Granite;Customer;Towels Gorgeous Plastic Pants;false;Borders Sleek bypass;Shoes Designer exploit;Bulgarian Lev Clothing
2;Configuration Louisiana;Toys;transmit orchestrate EXE;cyan pixel;Plastic;overriding;Dynamic index;encryption Savings Account Cheese;Ferry Quality-focused;Program Director;Forges Cotton;overriding purple Implementation;parse networks;auxiliary algorithm;false;engineer success;Sleek;iterate withdrawal
3;bypassing Frozen;ivory Views Buckinghamshire;scalable Group modular;magenta;reboot Metrics;Jewelery;card;disintermediate;cohesive;Metrics;deposit array Administrator;Self-enabling Investment Account;IB Fish;Cuba withdrawal radical;true;Borders Cotton;copy;Senior
4;encoding;strategic withdrawal;productize;COM;SMTP Chair;open-source redundant;Cedi;Montana Adaptive;Belarussian Ruble invoice Sleek Cotton Cheese;Graphical User Interface Borders JSON;array Nebraska;bus vortals Applications;grow;synthesize Bahraini Dinar SCSI;true;markets Rubber;models;CSS gold Towels
5;Licensed Frozen Gloves;empower Berkshire;THX methodology mint green;Bedfordshire;mobile Fall Adaptive;Incredible;Creative clicks-and-mortar;Meadow circuit Unbranded Cotton Shoes;array;protocol Bermuda Metal;motivating Cheese Ergonomic Steel Car;Music turquoise e-markets;vortals Home multi-byte;Soft;true;Michigan haptic Architect;syndicate;Human cross-platform Borders
6;Brand Factors Avon;Falkland Islands (Malvinas) Principal;Granite;emulation Response;repurpose Planner Licensed Rubber Shirt;Dale;action-items Avon Centralized;Steel;info-mediaries Developer Markets;Organized ubiquitous;Kids solid state Quality;Florida;Factors Senegal;Computers;true;Solomon Islands Dollar input;Facilitator;Operations
7;Thailand;Rustic Tasty Wooden Pizza;Cambridgeshire;Intelligent Concrete Towels Handcrafted;Avon;Rial Omani Cotton synthesizing;Chair e-enable value-added;Seamless Health;haptic South Carolina;wireless program;Reverse-engineered;Expanded Steel;deposit;Berkshire parsing;false;bus deposit;Illinois RSS Washington;withdrawal evolve Granite
8;incubate;program Frozen Personal Loan Account;Open-architected cross-platform;parsing hierarchy National;Chile;didactic Soft Balanced;Licensed Cotton Keyboard;copy Sleek Frozen Gloves;red process improvement Analyst;online Micronesia;Consultant Intuitive;Clothing generating evolve;Afghani Sleek Rubber Chips;composite generate Kwanza;true;vortals conglomeration Research;Research Ergonomic Concrete Shoes one-to-one;Optimized RAM
9;non-volatile;composite;models driver tan;Cotton JBOD;Group redundant Front-line;card;didactic Berkshire;Refined program Garden;Costa Rican Colon core;payment;Jewelery eyeballs circuit;PNG e-tailers Soft;secondary Way circuit;parsing Intelligent Wooden Tuna New Mexico;true;Dam unleash interfaces;24 hour Forks;Borders circuit
10;Nevada;firewall Cape;Monitored;extranet Directives;Borders;Gorgeous Cotton Shoes;Plastic Division;Chicken array Auto Loan Account;solid state;Checking Account systems Refined Granite Towels;withdrawal Station Egypt;quantifying;Refined;Bedfordshire intranet;false;infomediaries;digital Computer Awesome;Cambridgeshire
