id;name;supplier_reference;bank_account_name;bank_account_branch;bank_account_code;bank_account_number;bank_international_code;payment_days;internal_comments;phone_number;fax_number;website_url;web_service_url;credit_rating;active_flag;thumbnail_url;valid_from;valid_to
1;Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;Concrete;Planner;Health;Savings Account Rupiah;55964;Automotive approach Borders;PCI;Sports;24/365;Frozen;56754;false;Turkish Lira overriding Rustic Metal Computer;2019-11-18T09:33:10;2019-11-18T17:06:56
2;circuit;Personal Loan Account;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;73158;Handmade Generic Concrete Tuna;Trafficway;pink Architect;override PNG;deposit Avon;55536;false;deposit workforce Virgin Islands, British;2019-11-18T20:33:04;2019-11-18T16:46:55
3;maroon;blue web-readiness white;Drives XSS interface;navigating Money Market Account array;Analyst Awesome Fresh Hat New Jersey;Clothing target;HDD Forward;42172;zero tolerance Iowa;sticky benchmark Point;program Soft interface;Savings Account deposit redefine;Shirt SDD;49227;false;Refined;2019-11-18T22:40:09;2019-11-18T21:42:09
4;Borders open-source;Rustic withdrawal;Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented;7349;Gloves Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;47463;true;transmitter Passage SCSI;2019-11-18T18:59:40;2019-11-19T03:26:58
5;Steel zero defect;Granite;Program;deposit;Estate;Incredible Sleek Arizona;Shirt Architect Developer;493;Paradigm;Facilitator Minnesota;Borders;open-source Burundi;Music;30792;false;Implementation feed Chips;2019-11-19T03:52:09;2019-11-19T06:08:10
6;Swiss Franc communities XSS;Quality-focused;parsing Identity;Health Polarised transmitting;Rhode Island Music Data;Dynamic Savings Account Branding;whiteboard payment Incredible;65784;Orchestrator;utilisation;recontextualize USB primary;optimal Refined;unleash system engine;66759;false;Legacy SAS help-desk;2019-11-18T11:32:10;2019-11-18T12:45:43
7;Plastic Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account;deploy Advanced;New Mexico;Pakistan Rupee;61949;Mill deliver XSS;indexing Lead;leading-edge enable synthesize;Operative Place;generate 1080p;71812;true;Andorra overriding synergies;2019-11-18T10:52:07;2019-11-18T16:51:01
8;Principal;invoice;Intelligent Frozen Shoes mission-critical;Shoes;Open-source multi-tasking;Data;Moldova archive;61033;interface zero administration networks;Christmas Island;Dong;haptic;card;10687;true;white Principal;2019-11-18T22:12:04;2019-11-18T20:47:05
9;neural;integrate New Caledonia;Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;78052;object-oriented;navigating New Leu primary;Savings Account Landing Delaware;Re-engineered;RSS sky blue Intelligent;2363;false;Phased sky blue;2019-11-18T17:04:43;2019-11-19T02:49:23
10;benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;Director;bypassing;array Virginia;27416;Gorgeous Generic Investor;monetize;Future-proofed extensible;convergence;Handcrafted Soft Car Profit-focused Ethiopia;88007;true;Pataca Function-based;2019-11-18T21:25:30;2019-11-19T00:23:52
