id;name;handle;product_number;search_details;sell_count;thumbnail_list;active_ind;last_edited_by;last_edited_when
1;neural Cayman Islands Dollar Licensed;Home;Monitored Borders El Salvador;../fake-data/blob/hipster.txt;35688;robust transmitting neural;false;Forward;2019-11-18T09:31:21
2;migration dynamic Bedfordshire;Synergized artificial intelligence Regional;South Georgia and the South Sandwich Islands;../fake-data/blob/hipster.txt;50313;sky blue SAS;true;copying RSS index;2019-11-18T21:50:56
3;Money Market Account;Ramp;Fish Jamaican Dollar;../fake-data/blob/hipster.txt;22959;Cotton Fish;false;firewall application Bedfordshire;2019-11-19T04:31:02
4;Incredible Grocery;circuit;Cross-platform turn-key Awesome;../fake-data/blob/hipster.txt;22236;Cote d'Ivoire;true;De-engineered;2019-11-19T07:00:15
5;morph;one-to-one;Intranet Personal Loan Account Massachusetts;../fake-data/blob/hipster.txt;41577;metrics Palau Som;true;Mouse Bedfordshire architectures;2019-11-18T11:29:51
6;deposit United States of America;New Zealand Dollar;Frozen magnetic;../fake-data/blob/hipster.txt;14284;Malagasy Ariary yellow unleash;true;ivory Cambridgeshire users;2019-11-19T07:57:18
7;optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed;../fake-data/blob/hipster.txt;53565;indexing transmitting overriding;false;B2B;2019-11-18T13:23:34
8;Mission Bacon;transition Berkshire Movies;expedite auxiliary;../fake-data/blob/hipster.txt;90177;teal;false;RSS;2019-11-18T23:02:39
9;Saint Barthelemy;bypassing Nigeria Associate;syndicate mobile;../fake-data/blob/hipster.txt;43347;Representative;true;hierarchy;2019-11-19T03:06:26
10;bricks-and-clicks;Checking Account array;Islands protocol;../fake-data/blob/hipster.txt;65672;capacitor Tools;false;invoice Berkshire Kids;2019-11-18T13:04:56
